,player_x,Pos,sf_id,wg_avg_mp,wg_avg_min,wg_avg_gls,wg_avg_asst,wg_avg_gls_asst,wg_avg_value,wg_avg_ovrl,wg_avg_pot,wg_avg_pac,wg_avg_sho,wg_avg_pas,wg_avg_dri,wg_avg_def,wg_avg_phy,wg_avg_titles,wg_avg_num_titles,wg_avg_views_titles,wg_avg_comments,wg_avg_num_comments,target
279,marcos gullon,MF,192786,14.23,1103.66,-4.02,0.23,-3.79,559999.78,7.57,8.67,4.73,5.16,6.47,4.73,7.13,9.78,0.70,3.57,5758.57,0.93,3.37,0
280,mario gaspar,DF,192789,23.03,1986.97,5.87,1.27,2.99,3733335.33,50.01,54.18,54.88,36.30,44.66,45.58,49.09,53.91,0.68,19.54,1247750.55,0.77,21.09,1
281,javier matilla,MF,192790,16.09,1296.52,0.89,0.80,2.99,979999.81,48.08,50.85,46.45,43.15,52.00,49.44,36.52,42.04,0.59,17.95,33013.65,0.56,98.66,0
282,jack payne,"DF,MF",192811,14.72,1060.61,5.06,0.00,5.06,116651.92,43.39,49.47,47.12,38.28,40.85,42.73,41.31,50.08,0.76,29.78,54447.68,1.10,33.79,0
283,leandro cabrera,DF,192816,24.87,2186.20,-3.76,5.06,1.30,816666.32,46.91,52.26,48.55,21.00,37.80,37.80,45.28,54.14,0.72,13.68,21871.98,0.93,11.45,0
284,luca ricci,DF,192831,1.54,667.18,-3.76,0.00,-3.76,169165.78,20.05,22.09,17.76,7.07,12.82,16.41,18.71,24.78,0.82,32.92,113248.01,1.05,18.73,0
285,formose mendy,MF,192875,5.27,180.13,0.00,0.00,0.00,163332.98,21.37,24.08,32.29,18.66,18.21,21.83,7.07,24.55,0.82,0.57,1329.18,1.61,7.49,0
286,yohan bocognano,DF,192923,9.84,743.43,-0.03,0.00,-0.03,186666.32,6.69,8.01,3.43,0.27,5.16,1.31,6.25,9.78,0.73,6.27,61972.12,1.51,3.95,0
287,danny mayor,MF,192970,14.20,697.05,6.55,7.65,9.24,175000.00,45.07,47.39,57.18,41.78,41.10,47.86,21.44,41.56,0.68,23.44,2587966.09,0.36,72.67,0
288,cedric evina,DF,193014,9.50,636.95,0.00,0.00,0.00,163333.14,42.70,46.38,58.10,30.10,41.30,42.70,39.90,47.68,0.75,7.38,32197.95,1.08,16.80,0
289,patrick ekeng,MF,193072,13.78,820.34,4.69,4.46,5.76,443334.18,43.52,48.83,55.97,40.40,38.93,44.47,32.01,50.68,0.73,13.58,2237516.07,0.92,40.99,0
290,nicolas seguin,"DF,GK",193074,-2.87,92.34,0.00,0.00,0.00,140000.00,19.57,21.83,18.66,7.51,13.27,9.94,20.48,19.43,0.78,-3.56,3485.43,0.87,11.25,0
291,diego falcinelli,FW,193077,25.88,1924.22,6.26,1.97,8.31,583334.35,43.92,49.52,49.54,43.00,33.35,42.76,18.48,44.83,0.75,32.82,34169.64,1.67,8.99,0
292,youcef touati,MF,193096,-2.99,65.70,0.00,-3.76,-3.76,93318.78,18.98,21.16,25.91,14.17,19.57,24.33,5.94,10.15,0.65,5.31,37558.79,-3.56,2.87,0
293,christian clemens,"FW,MF",193098,10.49,728.95,-4.14,-4.21,-3.50,1983332.85,50.85,53.67,59.96,48.51,49.23,51.80,30.16,44.58,0.82,28.55,148224.90,1.02,121.81,0
294,oliver petersch,MF,193102,-3.03,179.97,-3.76,-3.76,-4.12,128318.43,22.05,23.64,32.74,18.66,19.11,23.64,10.60,19.13,0.70,-3.76,1370.06,0.94,1012.35,0
295,tobias janicke,"FW,MF",193113,22.35,1541.92,6.56,6.78,8.34,303333.23,7.13,8.23,12.22,6.47,6.03,8.01,1.10,6.25,0.70,28.29,44182.84,0.93,10.98,0
296,ben marshall,"DF,FW",193172,23.38,1529.38,3.52,3.85,7.13,1061666.53,48.09,53.62,52.50,47.15,46.45,50.44,17.34,40.60,0.97,28.77,207077.81,0.93,223.00,0
297,scott malone,"DF,MF",193185,16.12,1254.58,1.17,0.34,1.75,408332.98,45.32,49.00,52.59,43.39,43.65,45.57,45.07,46.27,0.68,21.74,139684.00,0.50,30.41,0
298,daniel kearns,MF,193205,6.97,289.41,0.00,0.23,0.23,110832.89,44.55,47.35,58.10,37.80,41.30,45.72,17.53,42.00,0.46,7.83,8718.37,0.82,2.71,0
299,benjamin jeannot,FW,193226,22.95,1634.10,5.06,2.35,6.68,933333.93,47.87,53.48,50.67,49.27,40.15,45.54,19.52,40.72,0.94,19.81,155882.79,0.70,96.28,0
300,jonatan kotzke,"DF,MF",193235,9.42,898.08,0.47,-3.66,-3.19,244999.87,6.47,7.57,7.79,3.00,5.16,5.60,6.03,8.45,0.70,4.06,4850.47,1.61,6.15,0
301,jazz richards,"DF,MF",193303,6.92,492.76,0.00,0.10,0.10,513333.27,45.98,52.20,49.74,30.31,43.37,45.50,45.98,49.04,0.71,25.88,123506.23,0.93,87.78,0
302,julian koch,"DF,MF",193313,3.40,410.51,0.00,-4.12,-4.12,583333.08,48.75,52.01,51.10,36.40,45.95,46.89,49.70,50.40,0.82,18.96,866411.95,0.81,76.31,0
303,karl darlow,GK,193331,20.03,1743.66,0.00,0.00,0.00,1575002.28,46.91,51.78,47.15,47.15,43.36,50.22,38.50,44.77,0.77,25.07,190959.26,0.92,108.75,0
304,nicolo brighenti,DF,193333,18.02,1534.02,1.17,0.00,1.17,396667.87,42.00,46.86,48.93,22.97,27.96,28.66,43.37,46.86,0.70,8.73,8086.47,0.44,3.37,0
305,lee hodson,"DF,MF",193357,10.98,614.86,4.23,0.00,4.23,338332.67,44.32,49.70,48.30,35.00,40.34,46.42,42.44,45.27,0.91,6.34,13657.93,0.98,18.51,0
306,haris seferovic,FW,193408,13.42,855.24,3.37,2.32,6.79,3570000.91,51.18,56.94,45.47,51.71,43.05,47.88,26.86,46.11,0.84,19.75,126892.47,1.04,63.49,0
307,florin berenguer,MF,193427,21.55,1556.81,3.62,1.37,5.72,548333.39,44.95,49.54,53.32,42.63,44.18,46.54,25.20,44.83,0.73,19.97,100965.94,1.05,55.64,0
308,diogo rosado,MF,193493,4.33,124.55,0.00,0.00,0.00,548332.89,45.71,49.65,44.55,43.87,44.32,47.57,20.30,42.92,0.70,0.92,5324.59,1.03,15.36,0
309,idrissa sylla,"FW,MF",193528,17.01,1116.38,4.43,0.47,4.90,956667.71,46.28,49.92,51.62,46.46,37.90,46.54,18.50,46.73,0.84,19.00,103866.73,1.21,35.12,0
310,fousseyni cisse,FW,193529,5.57,470.70,-4.21,-4.12,-4.04,262499.56,43.23,46.45,52.28,41.46,31.50,39.96,17.61,46.78,0.61,13.46,48081.65,1.28,16.45,0
311,frank nouble,"FW,MF",193557,17.87,706.09,1.40,2.59,3.40,291666.36,45.03,47.59,55.99,43.40,34.84,43.62,19.83,48.60,0.70,8.42,43684.19,0.52,16.67,0
312,tom lees,DF,193569,29.25,2528.79,-3.76,-3.53,-3.89,1096667.27,47.61,50.38,46.16,26.06,39.43,41.53,47.85,48.82,1.11,27.31,122875.34,0.99,77.02,0
313,adrian gunino,DF,193600,14.00,1212.15,0.00,0.10,0.10,560000.00,46.91,51.06,58.07,36.15,44.09,49.92,44.81,45.91,0.70,2.31,897.05,0.97,81.23,0
314,danijel marceta,MF,193621,-4.26,4.08,0.00,0.00,0.00,75832.13,21.33,24.30,26.13,18.15,19.30,22.47,6.40,20.24,0.70,-3.76,936.39,0.99,32.90,0
315,gianvito misuraca,"FW,MF",193638,15.68,966.37,0.70,0.47,1.17,256666.67,6.47,8.23,9.78,6.47,5.16,7.13,-1.14,7.13,0.73,9.57,6230.71,1.74,1.61,0
316,marcel correia,DF,193679,15.63,1274.28,0.00,0.23,0.23,746666.82,48.78,50.63,46.24,28.00,39.04,41.30,49.70,51.35,0.76,2.81,29707.85,0.95,6.12,0
317,xavier chavalerin,MF,193683,22.16,1515.72,-3.29,5.52,2.23,350000.19,43.92,50.85,49.48,41.39,47.02,43.21,28.76,31.69,0.70,10.10,48729.31,1.03,53.71,0
318,vasco regini,DF,193686,22.54,1890.04,-3.76,0.70,-3.06,2100000.16,47.65,52.96,50.15,27.47,37.53,41.10,48.16,50.44,0.83,8.62,15033.74,0.74,22.50,0
319,edmund hottor,MF,193719,-4.24,6.03,0.00,0.00,0.00,69999.40,5.60,9.55,7.57,3.65,4.08,4.29,4.94,10.00,0.70,0.22,736.29,0.86,5.03,0
320,armando visconti,FW,193785,-4.26,5.38,0.00,0.00,0.00,17486.65,5.60,7.13,8.23,4.94,3.65,7.13,-1.91,2.37,0.78,1.63,1906.33,0.97,23.88,0
321,francesco bardi,GK,193786,17.58,1678.92,0.00,0.00,0.00,5366666.92,50.93,56.42,52.10,50.42,43.53,54.47,22.40,48.81,0.74,28.57,205658.15,0.98,51.06,0
322,joe mason,FW,193798,12.33,751.85,3.38,-3.76,3.48,758333.93,45.98,52.93,52.72,46.20,38.81,46.68,25.97,44.37,0.81,26.23,121284.44,0.94,68.87,0
323,marco calderoni,"DF,MF",193850,22.69,1871.59,0.70,0.57,1.27,326666.86,44.84,49.23,52.59,34.61,37.75,42.04,43.44,51.39,0.75,11.29,29096.23,1.08,12.24,0
324,david blacha,MF,193851,16.04,1123.71,7.39,5.29,8.69,250834.04,6.25,7.79,9.55,4.73,5.38,7.35,2.79,5.60,0.68,24.08,76372.96,1.32,14.60,0
325,hernan perez,"FW,MF",193887,9.92,624.11,1.75,5.06,2.66,1516667.11,48.57,53.20,54.63,48.77,43.47,51.12,20.13,51.10,0.72,18.93,198022.69,1.13,24.65,0
326,patrick funk,"DF,MF",193896,13.58,1078.61,4.23,-3.76,0.47,419999.21,23.19,25.90,24.08,15.96,20.47,21.37,24.09,24.09,0.71,22.84,1251370.57,1.41,71.45,0
327,jack hunt,"DF,MF",193900,12.74,1112.11,0.00,-0.03,-0.03,1400001.39,46.90,53.62,59.05,33.85,40.85,48.33,46.20,45.98,0.87,29.43,2110704.83,0.99,447.54,0
328,alberto escassi,"DF,MF",193909,16.87,1153.13,-3.76,4.23,0.47,233333.33,44.80,47.78,41.05,30.57,43.32,35.99,41.27,46.90,0.70,6.22,14493.57,0.83,32.58,0
329,etien velikonja,FW,193930,6.02,261.95,6.36,5.06,7.17,653332.79,44.79,47.30,50.56,45.27,29.93,42.18,25.13,41.71,0.79,10.73,22161.96,0.77,17.45,0
330,jordan cook,FW,193943,3.23,79.54,0.00,0.00,0.00,151666.47,41.78,46.37,49.42,44.51,36.20,46.20,18.90,33.96,0.77,25.52,5389765.35,1.11,1086.90,0
331,antonio marino,DF,193975,9.50,529.49,0.00,4.23,4.23,110832.93,22.28,25.00,15.96,8.83,10.36,11.49,22.28,26.82,0.68,28.82,167322.33,1.05,27.85,0
332,julian borner,"DF,MF",194015,13.51,1086.87,2.36,4.23,2.79,373333.68,46.27,49.50,45.46,29.65,37.10,38.95,45.57,52.07,0.80,10.18,33260.43,1.07,11.72,0
333,francesco signori,MF,194060,21.34,1628.74,0.69,0.70,1.74,396666.51,47.11,51.50,51.17,40.63,46.89,46.86,39.09,51.33,0.73,32.43,296459.22,1.29,23.83,0
334,dorian leveque,DF,194086,10.63,679.52,4.23,0.00,4.23,408334.53,44.06,47.47,46.68,23.80,37.62,40.27,44.99,42.58,0.79,9.19,159115.38,1.15,68.02,0
335,michael jacobs,"FW,MF",194091,11.06,419.97,-4.12,-4.04,-3.79,583333.33,47.33,51.99,53.25,40.15,45.93,49.66,30.80,42.06,0.74,24.31,650319.35,0.93,57.56,0
336,alper uludag,"DF,FW",194092,9.69,640.04,0.00,-3.89,-3.89,606667.49,30.39,33.43,34.36,27.34,28.99,31.81,28.14,30.09,0.70,3.91,5206.95,0.67,-3.75,0
337,giuseppe rizzo,MF,194102,12.16,769.30,0.00,-3.76,-3.76,746665.84,45.50,51.94,50.88,36.88,42.70,43.14,43.40,54.60,0.67,33.87,68937.53,0.44,19.58,0
338,armin bacinovic,MF,194108,13.32,906.71,0.47,0.10,0.82,816666.22,46.86,52.20,46.42,39.40,47.35,48.07,41.04,46.21,0.73,28.47,47987.49,1.22,15.95,0
339,samuel atrous,GK,194115,-3.89,44.27,0.00,0.00,0.00,93332.73,41.74,45.50,45.94,40.83,44.54,43.84,22.40,38.94,1.53,0.34,3482.62,1.19,5.56,0
340,kevin long,DF,194146,7.57,653.22,0.00,0.00,0.00,268334.38,44.17,49.26,42.31,21.18,23.80,30.91,43.47,49.61,1.03,22.79,19568298.88,1.04,792.77,0
341,mark o'brien,DF,194148,7.58,512.66,0.00,0.00,0.00,198331.94,46.89,51.76,39.65,25.90,34.70,37.10,47.56,48.56,0.77,22.89,764830.21,1.01,46.51,0
342,adri cuevas,MF,194213,5.88,627.09,0.93,0.00,0.93,70013.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,4.68,4771.02,1.21,11.72,0
343,antonio mazzotta,"DF,MF",194216,20.99,1823.61,0.23,1.15,1.39,746667.42,44.84,49.95,51.80,29.83,39.90,42.54,43.20,45.07,0.67,28.32,40368.79,0.58,5.36,0
344,victor laguardia,DF,194222,21.02,1802.10,-0.01,5.06,1.40,466666.67,46.90,50.69,45.06,27.30,30.80,29.89,47.60,53.20,0.74,4.28,113307.59,0.99,36.62,0
345,clement fabre,"DF,MF",194259,12.33,888.76,6.55,-3.76,2.79,233333.47,20.47,23.64,15.51,3.76,14.65,11.04,19.11,26.59,0.70,9.23,31340.60,0.69,23.58,0
346,danny ward,"FW,MF",194319,17.47,1033.27,-1.79,1.49,4.04,396666.67,46.23,52.01,53.70,46.87,43.66,47.13,24.76,43.69,0.80,27.39,5729830.60,1.22,383.59,0
347,daniel ayala,DF,194334,15.03,1166.35,3.06,0.23,3.29,408333.68,47.60,51.10,45.50,24.50,36.40,39.90,49.70,48.30,0.89,17.93,621413.24,1.08,40.60,0
348,jonathan tinhan,"FW,MF",194349,2.87,187.90,0.00,-3.76,-3.76,256666.22,22.73,26.37,34.34,17.76,18.66,23.64,11.49,17.74,-3.49,5.93,36821.72,1.46,15.97,0
349,eldin hadzic,"FW,MF",194367,18.07,1132.88,5.63,3.36,8.02,583335.08,44.81,51.55,54.12,43.40,39.04,48.55,17.76,39.20,0.70,11.55,12531.45,0.70,-3.77,0
350,pessalli,MF,194452,9.16,238.37,5.29,0.70,5.99,140000.95,43.88,50.08,42.77,43.18,41.82,46.45,20.30,37.45,0.70,3.49,10469.16,0.96,25.03,0
351,juan rafael fuentes,DF,194519,21.06,1775.79,-4.12,-3.89,-4.02,1633334.28,47.60,49.71,55.28,24.50,37.35,43.40,47.60,53.20,0.70,14.39,19455.82,0.46,34.95,0
352,louise parfait,MF,194664,-1.91,268.25,0.00,0.00,0.00,326664.92,6.69,9.11,10.00,5.16,6.69,7.13,5.16,8.67,0.70,6.09,366.75,1.55,15.59,0
353,mark halstead,GK,194679,6.23,375.29,0.00,0.00,0.00,139999.21,41.50,44.06,42.45,40.35,38.25,43.81,34.30,40.80,0.58,17.17,17954.26,1.02,7.98,0
354,kelvin matute,MF,194708,16.15,1255.69,-3.06,-3.53,-3.19,268333.74,43.11,47.22,53.68,37.77,41.27,41.97,43.15,50.63,0.74,9.68,19141.98,0.80,25.67,0
355,amara baby,"FW,MF",194718,18.11,1391.97,4.58,2.83,6.06,385000.23,43.00,46.72,58.31,35.50,40.60,43.40,37.80,47.64,0.63,23.40,6030906.44,0.90,743.02,0
356,borja garcia,"FW,MF",194761,21.60,1498.65,0.91,1.62,3.65,1283332.89,48.29,51.99,58.32,45.69,43.19,52.90,19.00,41.50,0.70,23.00,777922.38,0.85,73.87,0
357,niccolo giannetti,FW,194783,15.12,913.69,4.72,0.22,5.60,700001.02,46.20,51.57,56.00,43.41,40.83,48.53,19.96,43.17,0.77,24.08,50981.08,1.32,13.21,0
358,ronan murray,FW,194791,8.81,319.70,7.31,4.23,7.65,122498.96,41.04,46.61,53.90,39.15,31.50,42.92,18.20,36.18,0.72,18.28,39702.54,0.98,16.93,0
359,luke hyam,MF,194792,18.36,1479.22,0.70,0.82,1.62,443333.62,46.67,52.29,50.90,35.00,45.72,45.79,46.01,47.51,0.85,11.93,30724.81,0.73,15.87,0
360,craig dawson,DF,194806,6.52,577.84,-4.26,1.30,0.84,1400000.60,47.60,52.69,47.60,28.90,27.65,28.70,48.78,49.70,0.91,28.46,1421678.70,1.32,464.88,0
361,ryan mendes,"FW,MF",194847,7.98,292.90,1.98,5.29,3.12,1866666.51,49.96,53.20,61.60,44.10,44.80,51.10,17.34,39.67,0.83,25.67,213163.00,0.82,106.25,0
362,mario marin soto,DF,194860,-3.92,101.97,0.00,0.00,0.00,93333.33,6.69,8.45,10.00,0.07,4.73,4.51,5.81,7.35,0.89,4.43,9921.71,1.40,4.21,0
363,sergi enrich,"FW,MF",194879,14.90,678.01,4.07,5.64,5.00,513333.93,45.05,49.00,42.71,43.65,35.45,43.65,18.94,43.19,0.73,27.43,129898.01,0.39,16.76,0
364,dani jimenez,GK,194934,7.26,526.90,0.00,0.00,0.00,233333.93,42.58,47.68,47.30,40.69,38.05,46.49,33.60,38.93,0.82,23.09,2909063.69,0.33,63.52,0
365,james hurst,DF,194960,7.15,308.07,0.00,4.23,4.23,0.00,6.03,9.11,8.45,3.00,4.08,3.86,6.91,5.81,0.65,23.19,209139.44,1.27,34.47,0
366,nathaniel mendez-laing,"FW,MF",194964,10.12,636.70,-3.54,-3.66,-3.05,175000.00,44.07,48.05,54.60,39.95,40.35,47.33,21.79,41.30,0.75,10.92,22934.62,1.19,14.61,0
367,borja baston,FW,194996,23.98,1610.33,10.34,8.01,12.91,933334.53,47.69,54.39,46.67,46.62,31.11,45.02,18.90,45.05,0.51,22.99,73532.86,0.89,31.34,0
368,adrian sardinero,"FW,MF",195012,23.08,1446.20,3.75,1.05,4.61,326666.07,22.06,25.91,26.37,18.66,18.21,25.00,3.83,22.73,0.70,5.99,8798.68,-3.83,106.36,0
369,david davis,MF,195020,20.88,1268.62,5.64,4.23,6.12,385000.23,45.50,50.13,50.47,36.35,42.23,43.72,46.24,48.94,0.94,25.43,5133689.37,1.26,259.74,0
370,mathew leckie,"FW,MF",195033,21.35,1567.70,5.38,3.28,8.32,1038334.26,48.38,51.82,62.33,47.64,42.76,50.41,18.77,48.12,0.87,17.37,121053.29,1.09,44.07,0
371,danny batth,DF,195037,24.92,2006.37,2.83,0.47,3.29,466667.87,46.93,51.31,33.34,17.91,29.63,27.26,47.13,53.73,0.97,10.60,165557.35,1.40,36.98,0
372,lee yong-jae,FW,195092,17.98,947.23,3.99,-3.76,3.63,303334.02,7.35,9.55,11.56,6.91,6.25,7.13,-0.74,7.35,0.61,5.71,324096.25,1.21,36.79,0
373,john marquis,FW,195126,9.04,582.06,8.35,0.47,4.93,151666.47,42.91,46.38,47.60,41.46,29.95,40.32,25.64,53.60,0.82,23.68,59068.12,0.58,29.44,0
374,tom cairney,MF,195202,21.24,1421.96,6.81,8.57,10.79,1575001.45,47.64,51.14,51.10,43.48,49.04,46.73,37.00,45.46,1.02,26.93,127018.00,0.94,108.66,0
375,guy-michel landel,MF,195255,11.45,740.44,-3.29,4.69,1.40,618334.82,28.50,32.23,35.51,25.20,27.10,32.47,14.00,23.80,0.70,-2.95,23621.56,0.63,8.58,0
376,kevin kampl,MF,195365,15.84,1120.59,4.80,8.23,11.17,5133334.38,52.10,55.16,58.34,41.58,48.58,58.40,27.32,41.58,0.83,23.10,147207.23,0.94,89.61,1
377,charlie austin,FW,195671,23.99,2037.44,13.72,3.17,16.43,4900001.27,51.86,54.88,53.83,51.65,36.25,46.03,23.65,50.94,0.77,25.76,1659786.65,0.84,264.56,0
378,danny ings,FW,195859,25.04,1911.06,9.29,3.76,11.88,3850002.75,49.11,55.14,62.30,47.29,38.08,50.53,21.77,45.85,0.94,27.07,3155502.25,0.83,481.72,1
379,djiman koukou,MF,195873,19.58,1505.94,0.23,5.06,5.29,338334.09,44.84,49.26,43.87,32.95,41.31,36.93,43.47,54.10,0.74,16.76,74818.91,0.62,36.74,0
380,simone verdi,"FW,MF",196889,19.27,1191.66,6.55,3.23,4.99,1446668.27,47.88,53.67,60.64,42.35,43.54,52.82,18.75,31.11,0.84,27.93,937718.88,1.10,34.97,1
381,yaya sanogo,FW,196932,4.33,261.33,-3.79,-3.76,-3.65,1166667.27,47.41,55.76,53.36,44.84,33.44,42.33,21.06,46.98,0.79,13.71,822445.88,0.55,419.36,0
382,alex nimely,FW,196941,4.42,186.48,5.64,0.00,5.64,23346.69,45.01,48.51,56.70,43.85,33.60,48.51,18.90,46.61,0.74,1.59,8795.64,0.75,30.74,0
383,jonas acquistapace,DF,197079,13.19,957.46,0.00,5.29,5.29,384999.40,22.73,24.77,22.56,7.27,13.70,9.76,22.73,26.60,0.70,8.11,4442.96,0.72,10.87,0
384,dejan lazarevic,MF,197169,11.82,810.91,0.25,0.32,2.03,1003333.08,49.22,53.42,63.90,40.37,44.11,52.06,25.08,40.79,0.81,24.58,60669.77,1.03,12.44,0
385,kervens belfort,FW,197175,7.80,387.86,0.47,0.23,0.70,186666.32,6.91,9.33,9.55,6.25,5.81,6.91,0.69,6.47,0.68,14.71,109444.48,1.23,23.85,0
386,soren bertram,"DF,FW",197226,17.30,1109.64,7.62,8.71,11.96,256666.92,7.13,8.23,9.78,6.03,6.47,7.57,1.52,5.16,0.75,9.44,55240.07,1.01,18.13,0
387,maxime bourgeois,FW,197230,10.59,845.82,1.17,-2.84,-1.67,443333.49,44.36,49.00,55.49,37.43,40.58,44.84,18.71,38.72,0.70,13.07,65395.78,0.66,38.03,0
388,khouma babacar,FW,197231,17.69,1182.15,8.21,6.69,10.53,3500001.68,49.35,55.84,53.71,49.13,37.82,47.22,21.95,53.00,0.75,22.37,144566.36,0.84,14.15,0
389,lucas porcar,"FW,MF",197239,4.76,473.68,-4.26,-4.12,-4.14,326666.07,45.98,49.18,51.82,44.54,42.96,48.08,23.39,42.04,0.66,9.43,11394.25,0.90,6.41,0
390,abdoulaye maiga,DF,197310,-3.50,192.69,0.00,0.00,0.00,116666.80,5.60,6.91,7.57,0.69,3.00,2.37,6.25,8.67,0.78,6.67,99972.16,0.65,201.12,0
391,clemens fandrich,MF,197376,8.67,498.67,0.23,0.93,1.17,280000.60,36.74,40.33,44.14,32.89,35.78,40.33,22.41,30.22,0.87,10.14,15845.85,0.14,8.21,0
392,felix wiedwald,GK,197439,8.01,758.55,0.00,0.00,0.00,1108333.93,49.97,55.04,50.44,48.09,42.64,52.99,23.80,49.74,0.75,28.21,1346933.89,1.17,159.66,0
393,idriss saadi,FW,197480,4.94,585.43,-4.04,-3.76,-3.92,513334.13,47.02,53.66,51.25,46.80,35.73,46.78,19.47,50.78,0.70,17.75,166127.51,0.86,49.57,0
394,benjamin leroy,GK,197641,21.27,1930.40,0.00,0.00,0.00,525000.12,47.87,52.70,50.22,44.79,40.83,50.21,25.90,47.13,0.71,17.49,88699.71,0.80,151.03,0
395,giannelli imbula,MF,197681,23.41,1663.36,1.75,1.30,2.54,5833334.78,51.40,57.60,53.26,37.24,47.40,51.65,48.59,54.16,0.75,26.30,674177.77,0.80,299.40,0
396,andrea seculin,GK,197689,3.13,850.67,0.00,0.00,0.00,303333.33,45.06,51.08,46.13,42.76,35.47,50.70,21.70,43.20,0.60,7.02,12844.10,1.16,9.37,0
397,gerardo bruna,"FW,MF",197770,1.88,18.03,0.00,0.00,0.00,81665.87,43.12,47.07,43.40,39.87,44.05,45.93,20.30,35.48,0.57,1.71,59951.77,1.66,20.21,0
398,giulio donati,DF,197786,12.68,1035.21,0.00,0.23,0.23,2275001.45,48.87,52.07,51.38,32.90,42.31,42.52,48.91,53.20,0.80,27.15,96379.36,1.41,74.83,0
399,yassine haddou,"DF,MF",197814,-1.14,408.36,0.00,0.00,0.00,151651.51,6.03,7.79,6.69,1.94,4.94,4.73,5.60,7.13,0.70,-1.91,13677.34,1.03,11.93,0
400,cedrick mabwati,"FW,MF",197885,20.82,1205.93,-4.24,0.54,0.97,979999.81,48.99,52.73,64.89,37.32,42.48,52.48,21.70,45.55,0.76,15.38,69209.32,1.08,20.14,0
401,juanmi,"FW,MF",197891,9.93,505.05,6.36,0.00,6.36,2333334.67,47.88,52.99,54.37,44.42,38.05,50.90,20.10,38.50,0.73,23.30,84116.63,0.95,34.96,0
402,lorenzo crisetig,MF,197926,19.43,1491.35,0.70,0.57,1.52,1936667.36,46.48,53.63,44.97,34.52,47.65,46.23,38.84,50.19,0.74,32.82,210257.39,1.05,31.63,0
403,jonathan bond,GK,197928,4.05,389.20,0.00,0.00,0.00,291667.27,44.36,53.18,45.75,42.48,42.31,47.64,32.69,42.28,0.91,29.74,1099989.74,1.00,199.54,0
404,fernando llorente,MF,197934,15.07,989.63,4.69,5.06,6.11,233334.13,21.83,23.85,20.92,19.57,23.86,21.37,12.82,19.11,0.73,20.90,971118.23,0.99,286.41,0
405,fofo,FW,197935,16.86,853.29,7.97,5.99,9.81,373334.28,44.14,47.85,50.80,42.49,34.10,44.84,19.69,40.85,0.85,10.50,4365241.80,0.71,31.97,0
406,papy djilobodji,DF,197937,22.04,1945.86,0.70,0.23,0.93,3150001.02,51.92,57.01,47.30,32.00,33.38,32.16,50.52,58.81,0.79,14.22,311282.53,0.72,260.79,0
407,florian lejeune,"DF,MF",197948,6.72,330.92,0.00,0.00,0.00,513333.23,45.75,51.96,33.90,31.50,35.61,33.60,43.87,56.03,0.83,11.35,110802.52,0.61,63.27,0
408,tom eaves,FW,198011,12.10,758.60,6.69,6.82,9.27,35013.70,43.59,49.54,39.57,44.51,26.79,42.67,24.71,52.03,0.73,12.48,30222.59,0.44,19.47,0
409,manuel giandonato,MF,198068,10.61,497.70,-3.76,-4.01,-4.02,262499.48,22.72,27.71,20.02,17.98,22.97,22.01,21.13,24.98,0.76,21.26,20095.52,0.47,30.78,0
410,aaron martin,DF,198073,6.20,477.79,0.00,0.00,0.00,140014.90,44.76,46.82,41.05,35.13,28.19,29.81,45.46,45.05,0.78,25.39,4190771.04,0.92,202.90,0
411,maxwell acosty,"FW,MF",198080,14.73,839.41,0.47,0.23,0.70,630000.00,44.77,50.55,55.97,43.11,38.47,49.23,23.13,40.96,0.70,1.61,5263.97,0.97,2.72,0
412,willy maeyens,GK,198095,-3.76,10.00,0.00,0.00,0.00,46652.71,5.16,6.47,6.47,5.60,5.16,3.86,0.27,4.73,0.70,-3.89,876.32,0.63,0.69,0
413,dominik stahl,MF,198104,12.24,915.82,-2.59,0.00,-2.59,466666.67,46.94,48.78,48.34,41.22,39.73,42.26,46.94,55.33,0.82,6.28,16233.55,1.17,9.84,0
414,antonino ragusa,"FW,MF",198136,20.77,1622.25,3.98,0.69,4.67,1026667.07,48.34,51.81,57.49,45.03,43.85,49.76,22.66,45.29,0.69,32.38,36200.71,0.88,6.23,0
415,sergio araujo,"FW,MF",198145,23.93,1533.87,7.88,2.44,10.81,1703333.49,49.52,55.99,53.34,48.57,44.23,54.83,18.96,40.92,0.69,17.15,8492229.23,1.14,218.79,0
416,miguel angel guerrero,"FW,MF",198150,15.82,888.63,4.74,-4.24,4.65,350001.04,43.88,46.94,49.99,42.70,34.30,44.35,18.70,40.40,0.73,18.32,288591.42,1.20,23.43,0
417,george barker,FW,198151,0.69,13.07,0.00,0.00,0.00,23319.98,39.01,44.13,43.21,38.53,27.58,40.40,17.91,37.37,0.83,26.17,1610074.17,1.13,119.24,0
418,emre turan,DF,198163,-3.76,-3.65,0.00,0.00,0.00,58333.08,5.81,7.57,7.13,1.31,3.43,3.43,5.38,8.23,0.55,8.30,158614.70,1.08,29.67,0
419,greg cunningham,"DF,MF",198190,21.04,1512.80,1.53,1.75,2.77,408332.98,45.67,49.12,53.30,34.08,42.22,45.03,44.97,46.46,0.66,15.84,37491.43,1.15,33.78,0
